"StichtagDatJahr","DatenstandCd","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","ProjektStatusSSZPubl1Sort","ProjektStatusSSZPubl1Cd","ProjektStatusSSZPubl1Lang","ArtArbeitenSort","ArtArbeitenCd","ArtArbeitenLang","AnzBauprojekte","BaukostenEffektiv"
2009,"D",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Baubegonnen",1,"N","Neubau",1,K
2009,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Baubegonnen",1,"N","Neubau",2,K
2009,"D",14,"014","City",1,"1","Kreis 1",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2009,"D",14,"014","City",1,"1","Kreis 1",3,"3","Baubegonnen",1,"N","Neubau",1,K
2009,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",7,36600
2009,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",2,K
2009,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",2,K
2009,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Bewilligt harmonisiert",1,"N","Neubau",3,K
2009,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Baubegonnen",1,"N","Neubau",10,413200
2009,"D",33,"033","Friesenberg",3,"3","Kreis 3",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2009,"D",33,"033","Friesenberg",3,"3","Kreis 3",3,"3","Baubegonnen",1,"N","Neubau",2,K
2009,"D",34,"034","Sihlfeld",3,"3","Kreis 3",2,"2","Bewilligt harmonisiert",1,"N","Neubau",4,77420
2009,"D",34,"034","Sihlfeld",3,"3","Kreis 3",3,"3","Baubegonnen",1,"N","Neubau",1,K
2009,"D",41,"041","Werd",4,"4","Kreis 4",3,"3","Baubegonnen",1,"N","Neubau",1,K
2009,"D",42,"042","Langstrasse",4,"4","Kreis 4",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",42,"042","Langstrasse",4,"4","Kreis 4",3,"3","Baubegonnen",1,"N","Neubau",2,K
2009,"D",44,"044","Hard",4,"4","Kreis 4",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",44,"044","Hard",4,"4","Kreis 4",3,"3","Baubegonnen",1,"N","Neubau",2,K
2009,"D",51,"051","Gewerbeschule",5,"5","Kreis 5",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",51,"051","Gewerbeschule",5,"5","Kreis 5",3,"3","Baubegonnen",1,"N","Neubau",3,46200
2009,"D",52,"052","Escher Wyss",5,"5","Kreis 5",2,"2","Bewilligt harmonisiert",1,"N","Neubau",5,K
2009,"D",52,"052","Escher Wyss",5,"5","Kreis 5",3,"3","Baubegonnen",1,"N","Neubau",6,1105900
2009,"D",61,"061","Unterstrass",6,"6","Kreis 6",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2009,"D",61,"061","Unterstrass",6,"6","Kreis 6",3,"3","Baubegonnen",1,"N","Neubau",6,74932
2009,"D",63,"063","Oberstrass",6,"6","Kreis 6",2,"2","Bewilligt harmonisiert",1,"N","Neubau",3,K
2009,"D",63,"063","Oberstrass",6,"6","Kreis 6",3,"3","Baubegonnen",1,"N","Neubau",8,52837
2009,"D",71,"071","Fluntern",7,"7","Kreis 7",2,"2","Bewilligt harmonisiert",1,"N","Neubau",4,K
2009,"D",71,"071","Fluntern",7,"7","Kreis 7",3,"3","Baubegonnen",1,"N","Neubau",11,118828
2009,"D",72,"072","Hottingen",7,"7","Kreis 7",2,"2","Bewilligt harmonisiert",1,"N","Neubau",7,14430
2009,"D",72,"072","Hottingen",7,"7","Kreis 7",3,"3","Baubegonnen",1,"N","Neubau",5,K
2009,"D",73,"073","Hirslanden",7,"7","Kreis 7",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",73,"073","Hirslanden",7,"7","Kreis 7",3,"3","Baubegonnen",1,"N","Neubau",7,27480
2009,"D",74,"074","Witikon",7,"7","Kreis 7",2,"2","Bewilligt harmonisiert",1,"N","Neubau",8,35937
2009,"D",74,"074","Witikon",7,"7","Kreis 7",3,"3","Baubegonnen",1,"N","Neubau",2,K
2009,"D",81,"081","Seefeld",8,"8","Kreis 8",2,"2","Bewilligt harmonisiert",1,"N","Neubau",4,K
2009,"D",81,"081","Seefeld",8,"8","Kreis 8",3,"3","Baubegonnen",1,"N","Neubau",6,K
2009,"D",82,"082","Mühlebach",8,"8","Kreis 8",2,"2","Bewilligt harmonisiert",1,"N","Neubau",6,64000
2009,"D",82,"082","Mühlebach",8,"8","Kreis 8",3,"3","Baubegonnen",1,"N","Neubau",8,47572
2009,"D",83,"083","Weinegg",8,"8","Kreis 8",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",83,"083","Weinegg",8,"8","Kreis 8",3,"3","Baubegonnen",1,"N","Neubau",2,K
2009,"D",91,"091","Albisrieden",9,"9","Kreis 9",2,"2","Bewilligt harmonisiert",1,"N","Neubau",7,93579
2009,"D",91,"091","Albisrieden",9,"9","Kreis 9",3,"3","Baubegonnen",1,"N","Neubau",6,165943
2009,"D",92,"092","Altstetten",9,"9","Kreis 9",2,"2","Bewilligt harmonisiert",1,"N","Neubau",11,88712
2009,"D",92,"092","Altstetten",9,"9","Kreis 9",3,"3","Baubegonnen",1,"N","Neubau",16,371022
2009,"D",101,"101","Höngg",10,"10","Kreis 10",2,"2","Bewilligt harmonisiert",1,"N","Neubau",10,K
2009,"D",101,"101","Höngg",10,"10","Kreis 10",3,"3","Baubegonnen",1,"N","Neubau",7,129530
2009,"D",102,"102","Wipkingen",10,"10","Kreis 10",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",102,"102","Wipkingen",10,"10","Kreis 10",3,"3","Baubegonnen",1,"N","Neubau",8,55952
2009,"D",111,"111","Affoltern",11,"11","Kreis 11",2,"2","Bewilligt harmonisiert",1,"N","Neubau",8,104490
2009,"D",111,"111","Affoltern",11,"11","Kreis 11",3,"3","Baubegonnen",1,"N","Neubau",12,363150
2009,"D",115,"115","Oerlikon",11,"11","Kreis 11",2,"2","Bewilligt harmonisiert",1,"N","Neubau",8,41559
2009,"D",115,"115","Oerlikon",11,"11","Kreis 11",3,"3","Baubegonnen",1,"N","Neubau",6,93500
2009,"D",119,"119","Seebach",11,"11","Kreis 11",2,"2","Bewilligt harmonisiert",1,"N","Neubau",8,359590
2009,"D",119,"119","Seebach",11,"11","Kreis 11",3,"3","Baubegonnen",1,"N","Neubau",11,253190
2009,"D",121,"121","Saatlen",12,"12","Kreis 12",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2009,"D",122,"122","Schwamendingen-Mitte",12,"12","Kreis 12",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2009,"D",122,"122","Schwamendingen-Mitte",12,"12","Kreis 12",3,"3","Baubegonnen",1,"N","Neubau",1,K
2009,"D",123,"123","Hirzenbach",12,"12","Kreis 12",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2010,"D",11,"011","Rathaus",1,"1","Kreis 1",3,"3","Baubegonnen",1,"N","Neubau",1,K
2010,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Baubegonnen",1,"N","Neubau",1,K
2010,"D",14,"014","City",1,"1","Kreis 1",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",4,K
2010,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",7,36750
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2010,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",1,K
2010,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",5,49500
2010,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",5,K
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2010,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Baubegonnen",1,"N","Neubau",8,445100
2010,"D",33,"033","Friesenberg",3,"3","Kreis 3",3,"3","Baubegonnen",1,"N","Neubau",5,491394
2010,"D",34,"034","Sihlfeld",3,"3","Kreis 3",2,"2","Bewilligt harmonisiert",1,"N","Neubau",4,K
2010,"D",34,"034","Sihlfeld",3,"3","Kreis 3",3,"3","Baubegonnen",1,"N","Neubau",3,136357
2010,"D",41,"041","Werd",4,"4","Kreis 4",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2010,"D",41,"041","Werd",4,"4","Kreis 4",3,"3","Baubegonnen",1,"N","Neubau",1,K
2010,"D",42,"042","Langstrasse",4,"4","Kreis 4",2,"2","Bewilligt harmonisiert",1,"N","Neubau",3,113900
2010,"D",42,"042","Langstrasse",4,"4","Kreis 4",3,"3","Baubegonnen",1,"N","Neubau",4,K
2010,"D",44,"044","Hard",4,"4","Kreis 4",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2010,"D",44,"044","Hard",4,"4","Kreis 4",3,"3","Baubegonnen",1,"N","Neubau",2,K
2010,"D",51,"051","Gewerbeschule",5,"5","Kreis 5",3,"3","Baubegonnen",1,"N","Neubau",2,K
2010,"D",52,"052","Escher Wyss",5,"5","Kreis 5",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2010,"D",52,"052","Escher Wyss",5,"5","Kreis 5",3,"3","Baubegonnen",1,"N","Neubau",10,K
2010,"D",61,"061","Unterstrass",6,"6","Kreis 6",2,"2","Bewilligt harmonisiert",1,"N","Neubau",5,67320
2010,"D",61,"061","Unterstrass",6,"6","Kreis 6",3,"3","Baubegonnen",1,"N","Neubau",5,47502
2010,"D",63,"063","Oberstrass",6,"6","Kreis 6",2,"2","Bewilligt harmonisiert",1,"N","Neubau",4,80325
2010,"D",63,"063","Oberstrass",6,"6","Kreis 6",3,"3","Baubegonnen",1,"N","Neubau",6,34600
2010,"D",71,"071","Fluntern",7,"7","Kreis 7",2,"2","Bewilligt harmonisiert",1,"N","Neubau",5,68391
2010,"D",71,"071","Fluntern",7,"7","Kreis 7",3,"3","Baubegonnen",1,"N","Neubau",8,93308
2010,"D",72,"072","Hottingen",7,"7","Kreis 7",2,"2","Bewilligt harmonisiert",1,"N","Neubau",8,43160
2010,"D",72,"072","Hottingen",7,"7","Kreis 7",3,"3","Baubegonnen",1,"N","Neubau",4,K
2010,"D",73,"073","Hirslanden",7,"7","Kreis 7",2,"2","Bewilligt harmonisiert",1,"N","Neubau",3,10211
2010,"D",73,"073","Hirslanden",7,"7","Kreis 7",3,"3","Baubegonnen",1,"N","Neubau",2,K
2010,"D",74,"074","Witikon",7,"7","Kreis 7",2,"2","Bewilligt harmonisiert",1,"N","Neubau",10,34017
2010,"D",74,"074","Witikon",7,"7","Kreis 7",3,"3","Baubegonnen",1,"N","Neubau",5,36520
2010,"D",81,"081","Seefeld",8,"8","Kreis 8",2,"2","Bewilligt harmonisiert",1,"N","Neubau",4,21700
2010,"D",81,"081","Seefeld",8,"8","Kreis 8",3,"3","Baubegonnen",1,"N","Neubau",3,K
2010,"D",82,"082","Mühlebach",8,"8","Kreis 8",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2010,"D",82,"082","Mühlebach",8,"8","Kreis 8",3,"3","Baubegonnen",1,"N","Neubau",10,106800
2010,"D",83,"083","Weinegg",8,"8","Kreis 8",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2010,"D",83,"083","Weinegg",8,"8","Kreis 8",3,"3","Baubegonnen",1,"N","Neubau",1,K
2010,"D",91,"091","Albisrieden",9,"9","Kreis 9",2,"2","Bewilligt harmonisiert",1,"N","Neubau",7,36510
2010,"D",91,"091","Albisrieden",9,"9","Kreis 9",3,"3","Baubegonnen",1,"N","Neubau",9,254163
2010,"D",92,"092","Altstetten",9,"9","Kreis 9",2,"2","Bewilligt harmonisiert",1,"N","Neubau",12,223780
2010,"D",92,"092","Altstetten",9,"9","Kreis 9",3,"3","Baubegonnen",1,"N","Neubau",18,309240
2010,"D",101,"101","Höngg",10,"10","Kreis 10",2,"2","Bewilligt harmonisiert",1,"N","Neubau",9,137100
2010,"D",101,"101","Höngg",10,"10","Kreis 10",3,"3","Baubegonnen",1,"N","Neubau",13,158901
2010,"D",102,"102","Wipkingen",10,"10","Kreis 10",2,"2","Bewilligt harmonisiert",1,"N","Neubau",4,148500
2010,"D",102,"102","Wipkingen",10,"10","Kreis 10",3,"3","Baubegonnen",1,"N","Neubau",4,22020
2010,"D",111,"111","Affoltern",11,"11","Kreis 11",2,"2","Bewilligt harmonisiert",1,"N","Neubau",6,27045
2010,"D",111,"111","Affoltern",11,"11","Kreis 11",3,"3","Baubegonnen",1,"N","Neubau",11,390340
2010,"D",115,"115","Oerlikon",11,"11","Kreis 11",2,"2","Bewilligt harmonisiert",1,"N","Neubau",8,49570
2010,"D",115,"115","Oerlikon",11,"11","Kreis 11",3,"3","Baubegonnen",1,"N","Neubau",10,110489
2010,"D",119,"119","Seebach",11,"11","Kreis 11",2,"2","Bewilligt harmonisiert",1,"N","Neubau",10,178685
2010,"D",119,"119","Seebach",11,"11","Kreis 11",3,"3","Baubegonnen",1,"N","Neubau",12,402240
2010,"D",121,"121","Saatlen",12,"12","Kreis 12",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2010,"D",122,"122","Schwamendingen-Mitte",12,"12","Kreis 12",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
2010,"D",123,"123","Hirzenbach",12,"12","Kreis 12",2,"2","Bewilligt harmonisiert",1,"N","Neubau",5,197000
2011,"D",12,"012","Hochschulen",1,"1","Kreis 1",3,"3","Baubegonnen",1,"N","Neubau",2,K
2011,"D",14,"014","City",1,"1","Kreis 1",2,"2","Bewilligt harmonisiert",1,"N","Neubau",1,K
2011,"D",14,"014","City",1,"1","Kreis 1",3,"3","Baubegonnen",1,"N","Neubau",1,K
2011,"D",21,"021","Wollishofen",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",8,63011
2011,"D",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",8,41220
2011,"D",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",3,44950
2011,"D",23,"023","Leimbach",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",1,K
2011,"D",24,"024","Enge",2,"2","Kreis 2",2,"2","Bewilligt harmonisiert",1,"N","Neubau",5,162510
2011,"D",24,"024","Enge",2,"2","Kreis 2",3,"3","Baubegonnen",1,"N","Neubau",5,K
2011,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",2,"2","Bewilligt harmonisiert",1,"N","Neubau",3,K
2011,"D",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Baubegonnen",1,"N","Neubau",6,370700
2011,"D",33,"033","Friesenberg",3,"3","Kreis 3",3,"3","Baubegonnen",1,"N","Neubau",7,496044
2011,"D",34,"034","Sihlfeld",3,"3","Kreis 3",2,"2","Bewilligt harmonisiert",1,"N","Neubau",2,K
